id,description,company_id,,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8520767,BODY AOP FOREST ANIMALS:LIGHT DUSTY LILAC:80,1,8457582 Body aop forest animals/8457582 Body aop forest animals - Light Dusty Lilac,,,,,,,FALSE,,,,8910 Baby Tops,9328,Body,,1-PACK,2.71,USD,,,,,,,,,,,,,,,
8541699,DRESS WOVEN GAUZE:DUSTY LILAC:80,1,8486669 Dress woven gauze/8486669 Dress woven gauze - Dusty Lilac,,,,,,,FALSE,,,,8910 Baby Tops,9318,Dress,,1-PACK,5,USD,,,,,,,,,,,,,,,
8248511,PYJAMAS HEDGEHOG AOP:LIGHT DUSTY AQUA:86,1,8213452 Pyjamas Hedgehog aop/8213452 Pyjamas Hedgehog aop - Light Dusty Aqua,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,2.92,USD,,,,,,,,,,,,,,,
8537764,LEGGINGS BRUSHED INSIDE:DUSTY YELLOW:68,1,8451851 Leggings brushed inside/8451851 Leggings brushed inside - Dusty Yellow,,,,,,,FALSE,,,,8913 Baby Basic,9472,Leggings,,1-PACK,2.1,EUR,,,,,,,,,,,,,,,
8366278,BRIEF  THONG REGULAR SALLY SEA:LIGHT DUSTY AQUA:36/38,1,8186562 Brief  Thong regular Sally Sea/8186562 Brief  Thong regular Sally Sea - Light Dusty Aqua,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.6,USD,,,,,,,,,,,,,,,
8120123,BODY WRAP SHOOTING STARS:DUSTY CORAL:56,1,8089838 Body Wrap Shooting Stars/8089838 Body Wrap Shooting Stars - Dusty coral,,,,,,,FALSE,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.3,USD,,,,,,,,,,,,,,,
8382568,LEGGINGS RIB SOLID:LIGHT DUSTY AQUA:56,1,8216900 Leggings rib solid/8216900 Leggings rib solid - Light Dusty Aqua,,,,,,,FALSE,,,,8913 Baby Basic,9472,Leggings,,1-PACK,1.95,USD,,,,,,,,,,,,,,,
8337844,SWEATSHIRT DALMATIANS AOP MULT:OFF BLACK:80,1,8305038 Sweatshirt Dalmatians aop mult/8305038 Sweatshirt Dalmatians aop mult - Off black,,,,,,,FALSE,,,,8914 Baby CoP Tops,9463,Sweatshirt,,1-PACK,2.8,USD,,,,,,,,,,,,,,,
8147504,BODY WRAP RAINBOW:BEIGE:56,1,8121421 Body wrap rainbow/8121421 Body wrap rainbow - Beige,,,,,,,FALSE,,,,8912 Newborn,9328,Body,,1-PACK,2.3,USD,,,,,,,,,,,,,,,
8535164,PYJAMAS NIGHT SKY:DARK DUSTY BLUE:86,1,8503489 Pyjamas Night Sky/8503489 Pyjamas Night Sky - Dark Dusty Blue,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,4.3,USD,,,,,,,,,,,,,,,
7986352,BRIEF THONG REGULAR COTTON LAC:WHITE:44/46,1,7957628 Brief Thong regular Cotton lac/7957628 Brief Thong regular Cotton lac - White,,,,,,,FALSE,,,,2012 Lindex Brief Basic,9326,Brief/Pants,,1-PACK,1.25,USD,,,,,,,,,,,,,,,
8135631,BODY WRAP RIB BASIC:DARK DUSTY YELLOW:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Dark Dusty Yellow,,,,,,,FALSE,,,,8913 Baby Basic,9328,Body,,1-PACK,2.7,USD,,,,,,,,,,,,,,,
7999848,BRIEF  COTTON EMELIE BRAZILAN:WHITE:617,1,7981354 Brief  cotton emelie Brazilan/7981354 Brief  cotton emelie Brazilan - White,,,,,,,FALSE,,,,2012 Lindex Brief Basic,9326,Brief/Pants,,1-PACK,1.41,USD,,,,,,,,,,,,,,,
8331113,BRIEF  BRAZI HIGH SEAMLESS RIB:DARK DUSTY ORANGE:44/46,1,8084021 Brief  Brazi High Seamless Rib/8084021 Brief  Brazi High Seamless Rib - Dark Dusty Orange,,,,,,,FALSE,,,,2016 Lindex Brief Fashion,9326,Brief/Pants,,1-PACK,1.78,USD,,,,,,,,,,,,,,,
